"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id"
"1118.064999987837","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>"," ","html-keyboard-response","0","1123","0.0-0.0"
"954.3500000145286","<p style=""color:white;"">In this task, you will see blended images of scenes and faces. Some images will have more ""face"" while other images will have more ""scene"". <br br> For example, the left image has more ""scene"", and the right image has more ""face"".<p class='imgContainer'><img src='images/10_X.jpg' ></img> </p><p class='imgContainer'><img src='images/2_X.jpg' ></img> </p><p style='color:white;'>Press the space bar to continue.</p>"," ","html-keyboard-response","1","2078","0.0-1.0"
"1249.260000011418","<p style=""color:white;""> You must decide whether each image has more ""scene"" or more ""face"", and press the response key for either ""scene"" or ""face"".  </p> <p style=""color:white;""> You will be asked to rate your confidence of your classification after choosing. </p><p style=""color:white;""> Here are the response keys: </p><p style=""color:white;""> Scene &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Face &#8594 <q>.</q> (period)</p><p style=""color:white;"">Here are some practice trials.</p> <p style=""color:white;"">Press either response key to continue.</p>",",","html-keyboard-response","2","3328","0.0-2.0"
"809.6150000346825","<p style=""color:white;""> There will be 80 images shown in Phase I, followed by new instructions for Phase II. </p><p style=""color:white;""> In Phase I, you will recieve <strong>3 cents</strong> for every correct classification. </p><p style=""color:white;""> Remember the response keys are <q>,</q>  (Scene) and <q>.</q> (Face). </p><p style=""color:white;"">Let us begin! Press the space bar when you are ready to start the first section.</p> "," ","html-keyboard-response","3","4138","0.0-3.0"
"922.2999999765307","<p style=""color:white;"">Phase I of the experiment is complete.</p> <p style=""color:white;"">In the second half, you will be performing the same classification task. However, you will also be <strong> working together </strong> with another Turker to earn money. </p> <p style=""color:white;"">Press the space bar to continue.</p> "," ","html-keyboard-response","4","7062","0.0-4.0"
"13745.075000042561","<p style=""color:white;"">You will see an image from the first part of the task. </p><p style=""color:white;"">You will be asked to choose to accept advice about whether the image is more ""Face"" or more ""Scene"" <strong> or </strong> choose to offer advice to your partner about whether the image is more ""Face"" or more ""Scene"". </p> <p style=""color:white;""> Your partner will be given the same choice. </p> <p style=""color:white;"">If you agree on the same action, you will be given that information. </p> <p style=""color:white;"">If you do not agree with your partner, either you or your partner will be randomly selected to give advice about the image to the other person. </p> <p style=""color:white;""> <strong> Your goal is to correctly identify as many images as possible, and the performance of your partner will not impact your score. </strong></p> <p style=""color:white;"">Press the space bar to proceed to Phase II of the experiment.</p> "," ","html-keyboard-response","5","22814","0.0-5.0"
"1154.1549999965355","<p style=""color:white;""> Finding your partner for the HIT...let us begin! </p> "," ","html-keyboard-response","6","24469","0.0-6.0"
